Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
20,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
21,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
22,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
23,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
24,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
25,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
26,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
27,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
28,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
29,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
30,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
31,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
32,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
33,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
34,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
35,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
36,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
37,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
38,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
39,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
40,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
41,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
42,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
43,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
44,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
45,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
46,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
47,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 1, '6': 0, '7': 0}",36.800000000000004,2,569,5,,,,
