Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
35,"{'1': 7, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",31.400000000000002,2,558,4,,,,
36,"{'1': 6, '2': 6, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",31.3,2,556,4,,,,
37,"{'1': 6, '2': 8, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",31.3,2,556,4,,,,
38,"{'1': 8, '2': 7, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",31.0,2,554,4,,,,
39,"{'1': 7, '2': 7, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",31.0,2,554,4,,,,
40,"{'1': 5, '2': 8, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",31.0,2,554,4,,,,
41,"{'1': 7, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",31.400000000000002,2,558,4,,,,
42,"{'1': 6, '2': 9, '3': 4, '4': 8, '5': 0, '6': 0, '7': 0}",29.900000000000002,2,549,4,,,,
43,"{'1': 5, '2': 7, '3': 6, '4': 9, '5': 0, '6': 0, '7': 0}",30.8,2,552,4,,,,
44,"{'1': 7, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",31.400000000000002,2,558,4,,,,
45,"{'1': 9, '2': 7, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",30.8,2,552,4,,,,
46,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",31.3,2,556,4,,,,
47,"{'1': 6, '2': 7, '3': 5, '4': 9, '5': 0, '6': 0, '7': 0}",30.8,2,552,4,,,,
48,"{'1': 6, '2': 6, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",31.3,2,556,4,,,,
49,"{'1': 6, '2': 7, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",31.3,2,556,4,,,,
